Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param lambda_l2,Param max_depth,Param min_child_samples,Param min_split_gain,Param num_leaves,UserAttribute test_score
76,COMPLETE,0.37312942991431614,0.8670566957394544,4,0.4135711425103118,0.0004612909767179065,0.34951778197045236,10,22,0.3049653701585941,89,0.3244569380962985
77,COMPLETE,0.36174856548858014,0.8852855565128774,5,0.39045759749834263,0.0015627348124757257,0.18500158424037774,13,88,0.19116262750360324,96,0.31568415432631214
78,COMPLETE,0.35450760568235895,0.6589784834828951,3,0.4480229602342377,0.0001254557115811141,0.41061228326075455,14,32,0.1661595714938745,85,0.30999976126398976
79,COMPLETE,0.3691940601166783,0.8447724655818583,2,0.4242289259181652,0.04056588803650437,0.2801073786763504,11,25,0.10305950570170647,92,0.3436659948264279
80,COMPLETE,0.3628475018221953,0.8700643492160263,4,0.40049841780087725,1.5859612705132713e-06,0.9469170484709911,7,29,0.14185062940313847,75,0.32323956382195396
81,COMPLETE,0.36968159654729493,0.867658483462613,4,0.4094122317337965,0.0003492341169700663,0.32805483407112146,10,22,0.3050526913416704,89,0.3290915321166037
82,COMPLETE,0.3719045528461577,0.8890600452924633,4,0.47449812618878395,0.0004901783229451209,0.16215632924806953,10,20,0.33481509984696434,97,0.32501205069376704
83,COMPLETE,0.37217856359299045,0.8689678279675508,4,0.4329810720620262,0.0033103235133248223,0.633526363087846,8,22,0.24942601628761804,94,0.3183416104102841
84,COMPLETE,0.36555847524569623,0.8996318678087567,3,0.3671262765272976,0.0008116769011533699,0.09145108287882761,9,25,0.2761083469463426,98,0.3217950865657788
85,COMPLETE,0.3765494472757588,0.8559600785211384,5,0.4148448482550521,0.00022706214768800306,0.43367190506768105,12,22,0.23605473660117465,100,0.32609541152374844
86,COMPLETE,0.3661848161993355,0.8235795017731036,5,0.3822740323775994,2.046901015017854e-05,0.224923839554686,12,28,0.2033268977734357,100,0.3305734422935884
87,COMPLETE,0.3599484031034102,0.611148296828049,5,0.4568850735871638,0.000232335731504999,0.46173957110118913,12,24,0.23746688304945104,95,0.33578376270769694
88,COMPLETE,0.3667621810838734,0.8832457601439067,5,0.6071901631421686,0.026518393991936985,0.15013388672968184,13,50,0.2874492483566618,98,0.33313088387410594
89,COMPLETE,0.36978717961429375,0.8545107286076324,6,0.7929081154442511,0.016716456086792623,0.7100525157149591,11,31,0.26413339404642583,91,0.32963536809048644
90,COMPLETE,0.37207439936256914,0.8062113390473772,5,0.42278768150093493,0.00014806245156163942,0.06699163640109394,15,20,0.1817460756365712,96,0.3322490154365765
